,,point 0,point 1,point 2,point 3,point 4,point 5
S01,T01,0,7,63,104,134,165
S02,T01,0,8,45,114,149,178
S03,T01,0,12,49,111,145,172
S04,T01,0,10,74,101,138,165
S05,T01,0,8,63,103,140,167
S06,T01,0,9,65,105,136,164
S07,T01,0,12,49,111,145,172
S08,T01,0,9,37,108,140,169
S09,T01,0,6,69,100,132,162
S10,T01,0,9,39,102,131,158
S11,T01,0,11,61,103,141,167
S12,T01,0,7,41,103,139,165
S13,T01,0,6,67,106,134,160
S14,T01,0,7,45,106,140,166
S15,T01,0,11,55,105,132,187
S16,T01,0,10,82,108,138,164
S17,T01,0,7,66,96,142,174
S18,T01,0,6,62,111,137,164
S19,T01,0,10,76,110,153,179
S20,T01,0,8,41,110,142,170
S21,T01,0,4,56,87,135,169
S22,T01,0,9,65,105,141,167
S23,T01,0,9,79,107,137,165
S24,T01,0,9,59,108,142,168
S25,T01,0,5,57,103,136,162
S26,T01,0,8,61,96,136,170
S27,T01,0,7,66,108,139,182
S28,T01,0,6,57,110,140,175
S29,T01,0,10,60,108,135,162
S30,T01,0,9,51,105,145,171
S31,T01,0,8,48,103,137,166
S32,T01,0,7,67,108,140,166
S33,T01,0,5,45,99,135,161
S34,T01,0,8,69,96,137,166
S35,T01,0,10,70,111,147,173
S36,T01,0,6,51,82,112,172
S37,T01,0,2,61,104,139,172
S38,T01,0,9,82,108,139,165
S39,T01,0,3,62,113,140,166
S40,T01,0,8,53,103,137,167
S41,T01,0,5,47,106,143,169
S42,T01,0,9,46,104,146,176
S01,T02,0,9,64,99,131,164
S02,T02,0,11,69,103,142,176
S03,T02,0,12,64,105,135,167
S04,T02,0,13,71,102,136,167
S05,T02,0,11,62,100,136,168
S06,T02,0,11,59,102,131,162
S07,T02,0,12,64,105,135,167
S08,T02,0,11,62,105,135,168
S09,T02,0,11,54,102,136,169
S10,T02,0,10,61,98,133,164
S11,T02,0,13,61,95,136,165
S12,T02,0,8,42,99,133,163
S13,T02,0,6,69,101,130,159
S14,T02,0,9,57,103,132,164
S15,T02,0,13,61,107,138,167
S16,T02,0,11,69,103,133,163
S17,T02,0,6,64,94,137,174
S18,T02,0,9,62,105,135,168
S19,T02,0,10,53,100,144,174
S20,T02,0,10,61,106,140,171
S21,T02,0,9,49,88,136,170
S22,T02,0,11,63,100,134,165
S23,T02,0,11,64,102,135,168
S24,T02,0,9,64,108,137,163
S25,T02,0,6,59,104,134,165
S26,T02,0,11,63,96,134,170
S27,T02,0,9,65,104,134,178
S28,T02,0,9,44,105,134,172
S29,T02,0,12,57,105,134,163
S30,T02,0,9,48,103,138,168
S31,T02,0,8,45,95,129,159
S32,T02,0,9,68,105,136,168
S33,T02,0,8,55,97,133,160
S34,T02,0,9,51,97,132,163
S35,T02,0,14,66,111,144,175
S36,T02,0,7,50,105,137,171
S37,T02,0,2,59,102,135,170
S38,T02,0,11,74,105,137,167
S39,T02,0,3,60,106,137,169
S40,T02,0,8,57,101,135,170
S41,T02,0,8,62,104,137,168
S42,T02,0,7,60,93,137,164
S01,T03,0,10,55,95,130,163
S02,T03,0,12,67,98,139,176
S03,T03,0,11,59,105,135,171
S04,T03,0,12,66,99,133,169
S05,T03,0,12,62,99,134,170
S06,T03,0,12,60,101,131,166
S07,T03,0,11,59,105,135,171
S08,T03,0,12,63,102,132,168
S09,T03,0,11,47,97,133,168
S10,T03,0,11,63,95,131,166
S11,T03,0,14,56,97,135,166
S12,T03,0,10,58,99,134,165
S13,T03,0,6,59,96,126,159
S14,T03,0,13,61,102,138,168
S15,T03,0,13,65,105,136,172
S16,T03,0,13,57,99,135,166
S17,T03,0,10,65,91,139,179
S18,T03,0,11,60,101,130,168
