,,point 0,point 1,point 2,point 3,point 4,point 5
S01,OF,0,12,44,77,124,171
S02,OF,0,15,51,77,124,169
S03,OF,0,14,71,98,128,168
S04,OF,0,12,46,91,127,166
S05,OF,0,14,60,89,126,168
S06,OF,0,13,63,93,127,166
S07,OF,0,14,71,98,128,168
S08,OF,0,13,61,92,129,170
S09,OF,0,13,54,86,124,171
S10,OF,0,12,53,85,122,168
S11,OF,0,16,65,91,127,168
S12,OF,0,12,62,91,128,168
S13,OF,0,4,51,92,123,162
S14,OF,0,11,45,75,130,167
S16,OF,0,14,51,84,123,159
S17,OF,0,10,50,85,129,171
S18,OF,0,13,46,83,122,174
S19,OF,0,11,62,90,132,171
S20,OF,0,13,60,89,127,172
S21,OF,0,13,49,87,125,168
S22,OF,0,12,58,86,121,162
S23,OF,0,16,55,83,121,163
S24,OF,0,13,62,94,128,171
S25,OF,0,12,65,91,127,170
S26,OF,0,13,49,82,124,171
S27,OF,0,13,60,90,124,176
S28,OF,0,14,58,90,125,175
S29,OF,0,13,61,88,125,164
S30,OF,0,12,57,91,128,167
S31,OF,0,14,67,93,128,172
S32,OF,0,16,66,95,125,173
S33,OF,0,11,47,87,122,165
S34,OF,0,11,59,93,130,169
S35,OF,0,19,66,92,127,184
S36,OF,0,11,45,93,124,166
S38,OF,0,12,55,90,127,170
S39,OF,0,8,61,87,132,171
S40,OF,0,10,41,70,122,175
S41,OF,0,13,53,83,131,172
S42,OF,0,11,52,97,130,163
