,,point 0,point 1,point 2,point 3,point 4,point 5
S01,OS,0,11,51,92,131,165
S02,OS,0,14,66,96,138,174
S03,OS,0,14,63,103,135,166
S04,OS,0,11,61,92,130,165
S05,OS,0,11,48,95,132,166
S06,OS,0,11,48,100,132,166
S07,OS,0,14,63,103,135,166
S08,OS,0,13,45,102,134,171
S09,OS,0,13,43,96,131,167
S10,OS,0,11,61,96,129,164
S11,OS,0,13,51,88,135,167
S12,OS,0,11,61,99,128,166
S13,OS,0,2,55,90,122,155
S14,OS,0,12,47,95,138,170
S15,OS,0,12,61,99,132,169
S16,OS,0,13,61,96,127,156
S17,OS,0,11,63,91,140,176
S18,OS,0,11,54,97,131,162
S19,OS,0,9,48,100,142,175
S20,OS,0,12,61,101,137,174
S21,OS,0,12,41,89,129,166
S22,OS,0,12,64,97,133,169
S23,OS,0,13,45,93,132,170
S24,OS,0,9,56,94,130,159
S25,OS,0,9,62,92,132,169
S26,OS,0,11,57,83,124,163
S27,OS,0,10,61,101,131,172
S28,OS,0,11,47,103,132,170
S29,OS,0,11,60,97,131,167
S30,OS,0,11,59,98,132,167
S31,OS,0,10,56,95,128,160
S32,OS,0,11,65,102,131,167
S33,OS,0,9,39,89,125,159
S34,OS,0,10,63,98,132,165
S35,OS,0,17,63,105,138,174
S36,OS,0,7,48,98,130,167
S37,OS,0,8,66,99,135,167
S38,OS,0,12,58,99,133,169
S39,OS,0,7,54,93,133,163
S40,OS,0,11,57,92,127,163
S41,OS,0,11,69,103,139,170
