,,point 0,point 1,point 2,point 3,point 4,point 5
S01,T05,0,12,56,82,128,167
S02,T05,0,14,51,93,131,184
S03,T05,0,12,61,100,133,172
S04,T05,0,13,43,88,128,165
S05,T05,0,14,58,88,130,172
S06,T05,0,13,65,96,130,170
S07,T05,0,12,61,100,133,172
S08,T05,0,13,61,96,130,174
S09,T05,0,11,51,94,130,171
S10,T05,0,10,55,88,125,168
S11,T05,0,15,69,97,132,187
S12,T05,0,10,60,94,130,168
S13,T05,0,6,51,96,126,163
S14,T05,0,13,57,88,135,168
S15,T05,0,13,45,72,99,173
S16,T05,0,13,57,84,132,167
S17,T05,0,12,62,88,134,177
S18,T05,0,13,63,93,127,176
S19,T05,0,11,63,99,136,176
S20,T05,0,13,63,97,131,177
S21,T05,0,13,46,88,130,173
S22,T05,0,12,63,92,127,166
S23,T05,0,16,58,91,126,167
S24,T05,0,11,61,100,131,169
S25,T05,0,11,60,99,131,170
S26,T05,0,13,52,82,127,174
S27,T05,0,12,67,94,130,183
S28,T05,0,13,57,94,128,176
S29,T05,0,13,61,92,129,171
S30,T05,0,12,63,98,131,170
S31,T05,0,11,57,89,127,169
S32,T05,0,12,55,81,130,171
S33,T05,0,11,57,87,125,165
S34,T05,0,10,53,92,131,168
S35,T05,0,16,61,103,134,175
S36,T05,0,10,50,97,129,170
S37,T05,0,6,50,88,130,171
S38,T05,0,12,52,96,131,172
S39,T05,0,6,44,74,133,174
S40,T05,0,12,58,86,129,179
S41,T05,0,13,60,90,132,168
S42,T05,0,11,61,92,133,164
